# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 17.1.0 Build 590 10/25/2017 SJ Lite Edition
# File: C:\Users\Jovan\Desktop\DE10-LITE_PINs.csv
# Generated on: Fri Aug 19 23:17:30 2022

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
button[1],Input,PIN_A7,7,B7_N0,PIN_A7,2.5 V,,,,,
button[0],Input,PIN_B8,7,B7_N0,PIN_B8,2.5 V,,,,,
led0[6],Output,PIN_C17,7,B7_N0,PIN_C17,2.5 V,,,,,
led0[5],Output,PIN_D17,7,B7_N0,PIN_D17,2.5 V,,,,,
led0[4],Output,PIN_E16,7,B7_N0,PIN_E16,2.5 V,,,,,
led0[3],Output,PIN_C16,7,B7_N0,PIN_C16,2.5 V,,,,,
led0[2],Output,PIN_C15,7,B7_N0,PIN_C15,2.5 V,,,,,
led0[1],Output,PIN_E15,7,B7_N0,PIN_E15,2.5 V,,,,,
led0[0],Output,PIN_C14,7,B7_N0,PIN_C14,2.5 V,,,,,
led0_dp,Output,PIN_D15,7,B7_N0,PIN_D15,2.5 V,,,,,
led1[6],Output,PIN_B17,7,B7_N0,PIN_B17,2.5 V,,,,,
led1[5],Output,PIN_A18,7,B7_N0,PIN_A18,2.5 V,,,,,
led1[4],Output,PIN_A17,7,B7_N0,PIN_A17,2.5 V,,,,,
led1[3],Output,PIN_B16,7,B7_N0,PIN_B16,2.5 V,,,,,
led1[2],Output,PIN_E18,6,B6_N0,PIN_E18,2.5 V,,,,,
led1[1],Output,PIN_D18,6,B6_N0,PIN_D18,2.5 V,,,,,
led1[0],Output,PIN_C18,7,B7_N0,PIN_C18,2.5 V,,,,,
led1_dp,Output,PIN_A16,7,B7_N0,PIN_A16,2.5 V,,,,,
led2[6],Output,PIN_B22,6,B6_N0,PIN_B22,2.5 V,,,,,
led2[5],Output,PIN_C22,6,B6_N0,PIN_C22,2.5 V,,,,,
led2[4],Output,PIN_B21,6,B6_N0,PIN_B21,2.5 V,,,,,
led2[3],Output,PIN_A21,6,B6_N0,PIN_A21,2.5 V,,,,,
led2[2],Output,PIN_B19,7,B7_N0,PIN_B19,2.5 V,,,,,
led2[1],Output,PIN_A20,7,B7_N0,PIN_A20,2.5 V,,,,,
led2[0],Output,PIN_B20,6,B6_N0,PIN_B20,2.5 V,,,,,
led2_dp,Output,PIN_A19,7,B7_N0,PIN_A19,2.5 V,,,,,
led3[6],Output,PIN_E17,6,B6_N0,PIN_E17,2.5 V,,,,,
led3[5],Output,PIN_D19,6,B6_N0,PIN_D19,2.5 V,,,,,
led3[4],Output,PIN_C20,6,B6_N0,PIN_C20,2.5 V,,,,,
led3[3],Output,PIN_C19,7,B7_N0,PIN_C19,2.5 V,,,,,
led3[2],Output,PIN_E21,6,B6_N0,PIN_E21,2.5 V,,,,,
led3[1],Output,PIN_E22,6,B6_N0,PIN_E22,2.5 V,,,,,
led3[0],Output,PIN_F21,6,B6_N0,PIN_F21,2.5 V,,,,,
led3_dp,Output,PIN_D22,6,B6_N0,PIN_D22,2.5 V,,,,,
led4[6],Output,PIN_F20,6,B6_N0,PIN_F20,2.5 V,,,,,
led4[5],Output,PIN_F19,6,B6_N0,PIN_F19,2.5 V,,,,,
led4[4],Output,PIN_H19,6,B6_N0,PIN_H19,2.5 V,,,,,
led4[3],Output,PIN_J18,6,B6_N0,PIN_J18,2.5 V,,,,,
led4[2],Output,PIN_E19,6,B6_N0,PIN_E19,2.5 V,,,,,
led4[1],Output,PIN_E20,6,B6_N0,PIN_E20,2.5 V,,,,,
led4[0],Output,PIN_F18,6,B6_N0,PIN_F18,2.5 V,,,,,
led4_dp,Output,PIN_F17,6,B6_N0,PIN_F17,2.5 V,,,,,
led5[6],Output,PIN_N20,6,B6_N0,PIN_N20,2.5 V,,,,,
led5[5],Output,PIN_N19,6,B6_N0,PIN_N19,2.5 V,,,,,
led5[4],Output,PIN_M20,6,B6_N0,PIN_M20,2.5 V,,,,,
led5[3],Output,PIN_N18,6,B6_N0,PIN_N18,2.5 V,,,,,
led5[2],Output,PIN_L18,6,B6_N0,PIN_L18,2.5 V,,,,,
led5[1],Output,PIN_K20,6,B6_N0,PIN_K20,2.5 V,,,,,
led5[0],Output,PIN_J20,6,B6_N0,PIN_J20,2.5 V,,,,,
led5_dp,Output,PIN_L19,6,B6_N0,PIN_L19,2.5 V,,,,,
ledr[9],Output,PIN_B11,7,B7_N0,PIN_B11,2.5 V,,,,,
ledr[8],Output,PIN_A11,7,B7_N0,PIN_A11,2.5 V,,,,,
ledr[7],Output,PIN_D14,7,B7_N0,PIN_D14,2.5 V,,,,,
ledr[6],Output,PIN_E14,7,B7_N0,PIN_E14,2.5 V,,,,,
ledr[5],Output,PIN_C13,7,B7_N0,PIN_C13,2.5 V,,,,,
ledr[4],Output,PIN_D13,7,B7_N0,PIN_D13,2.5 V,,,,,
ledr[3],Output,PIN_B10,7,B7_N0,PIN_B10,2.5 V,,,,,
ledr[2],Output,PIN_A10,7,B7_N0,PIN_A10,2.5 V,,,,,
ledr[1],Output,PIN_A9,7,B7_N0,PIN_A9,2.5 V,,,,,
ledr[0],Output,PIN_A8,7,B7_N0,PIN_A8,2.5 V,,,,,
switch[9],Input,PIN_F15,7,B7_N0,PIN_F15,2.5 V,,,,,
switch[8],Input,PIN_B14,7,B7_N0,PIN_B14,2.5 V,,,,,
switch[7],Input,PIN_A14,7,B7_N0,PIN_A14,2.5 V,,,,,
switch[6],Input,PIN_A13,7,B7_N0,PIN_A13,2.5 V,,,,,
switch[5],Input,PIN_B12,7,B7_N0,PIN_B12,2.5 V,,,,,
switch[4],Input,PIN_A12,7,B7_N0,PIN_A12,2.5 V,,,,,
switch[3],Input,PIN_C12,7,B7_N0,PIN_C12,2.5 V,,,,,
switch[2],Input,PIN_D12,7,B7_N0,PIN_D12,2.5 V,,,,,
switch[1],Input,PIN_C11,7,B7_N0,PIN_C11,2.5 V,,,,,
switch[0],Input,PIN_C10,7,B7_N0,PIN_C10,2.5 V,,,,,
